"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Block Group 1, Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Block Group 2, Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Block Group 3, Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Block Group 1, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 2, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 3, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 4, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 5, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 5, Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 6, Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Block Group 6, Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Block Group 3, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Block Group 4, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Block Group 5, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 5, Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Block Group 1, Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Block Group 2, Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Block Group 3, Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Block Group 1, Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error","Block Group 2, Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","1,118","±202","666","±170","855","±228","693","±194","611","±213","0","±14","958","±162","0","±14","0","±14","633","±290","0","±14","0","±14","2,045","±518","823","±214","0","±14","509","±196","384","±174","1,264","±509","637","±164","959","±164","451","±145"
"    Less than high school graduate or equivalency:","298","±101","222","±106","0","±14","20","±30","0","±14","0","±14","78","±70","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","135","±109","0","±14","162","±135","141","±103","0","±14","0","±14","18","±27","0","±14"
"        Has a computer:","216","±97","212","±105","0","±14","0","±14","0","±14","0","±14","78","±70","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","117","±103","0","±14","103","±120","119","±105","0","±14","0","±14","18","±27","0","±14"
"            With dial-up Internet subscription alone","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            With a broadband Internet subscription","82","±53","174","±96","0","±14","0","±14","0","±14","0","±14","78","±70","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","117","±103","0","±14","23","±37","79","±92","0","±14","0","±14","0","±14","0","±14"
"            Without an Internet subscription","134","±81","38","±48","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","80","±114","40","±56","0","±14","0","±14","18","±27","0","±14"
"        No computer","82","±47","10","±16","0","±14","20","±30","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","18","±34","0","±14","59","±74","22","±36","0","±14","0","±14","0","±14","0","±14"
"    High school graduate (includes equivalency) , some college or associate's degree :","285","±106","231","±84","149","±135","26","±30","113","±67","0","±14","106","±58","0","±14","0","±14","228","±235","0","±14","0","±14","171","±114","227","±101","0","±14","227","±144","128","±83","323","±319","56","±52","157","±108","123","±76"
"        Has a computer:","216","±97","208","±85","149","±135","26","±30","74","±64","0","±14","106","±58","0","±14","0","±14","228","±235","0","±14","0","±14","171","±114","227","±101","0","±14","227","±144","128","±83","323","±319","56","±52","157","±108","123","±76"
"            With dial-up Internet subscription alone","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            With a broadband Internet subscription","115","±77","140","±54","149","±135","26","±30","74","±64","0","±14","106","±58","0","±14","0","±14","228","±235","0","±14","0","±14","171","±114","193","±100","0","±14","111","±74","67","±53","323","±319","36","±43","157","±108","123","±76"
"            Without an Internet subscription","101","±66","68","±69","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","34","±39","0","±14","116","±136","61","±85","0","±14","20","±33","0","±14","0","±14"
"        No computer","69","±50","23","±37","0","±14","0","±14","39","±48","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Bachelor's degree or higher:","535","±162","213","±95","706","±224","647","±198","498","±199","0","±14","774","±165","0","±14","0","±14","405","±160","0","±14","0","±14","1,874","±505","461","±170","0","±14","120","±101","115","±96","941","±363","581","±165","784","±131","328","±125"
"        Has a computer:","506","±154","193","±103","706","±224","647","±198","498","±199","0","±14","707","±132","0","±14","0","±14","405","±160","0","±14","0","±14","1,861","±506","461","±170","0","±14","120","±101","115","±96","941","±363","581","±165","771","±129","328","±125"
"            With dial-up Internet subscription alone","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            With a broadband Internet subscription","445","±126","175","±100","706","±224","588","±193","498","±199","0","±14","707","±132","0","±14","0","±14","364","±153","0","±14","0","±14","1,846","±504","451","±171","0","±14","120","±101","115","±96","941","±363","581","±165","592","±145","328","±125"
"            Without an Internet subscription","61","±73","18","±29","0","±14","59","±52","0","±14","0","±14","0","±14","0","±14","0","±14","41","±54","0","±14","0","±14","15","±24","10","±19","0","±14","0","±14","0","±14","0","±14","0","±14","179","±105","0","±14"
"        No computer","29","±47","20","±34","0","±14","0","±14","0","±14","0","±14","67","±103","0","±14","0","±14","0","±14","0","±14","0","±14","13","±22","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14","13","±21","0","±14"
