"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","21","±26","201","±134","142","±93","360","±169","404","±423","75","±50"
"    Same house 1 year ago","21","±26","152","±130","97","±84","300","±155","404","±423","44","±48"
"    Moved within same county","0","±14","21","±33","42","±43","60","±69","0","±14","14","±24"
"    Moved from different county within same state","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state","0","±14","0","±14","0","±14","0","±14","0","±14","14","±18"
"    Moved from abroad","0","±14","28","±32","3","±9","0","±14","0","±14","3","±8"
