"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","1,843","±480","695","±274","628","±390","1,460","±394","791","±209","240","±112"
"    Same house 1 year ago","1,712","±444","592","±264","518","±378","1,250","±365","724","±175","216","±107"
"    Moved within same county","56","±73","74","±103","36","±43","62","±57","67","±110","21","±34"
"    Moved from different county within same state","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state","16","±25","29","±45","74","±72","148","±142","0","±14","3","±8"
"    Moved from abroad","59","±77","0","±14","0","±14","0","±14","0","±14","0","±14"
