Year,Label (Grouping),One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Tract
2017,Moved from different state ,0.06,0.36,0.01,0,-,-,0,-,0.32,0.29,Tract 64
2017,Moved from abroad,0,0.02,0,0,-,-,0,-,0.00,0.03,Tract 64
2017,Total Estimate,3366,1584,1488,0,198,36,60,248,269.00,1505,Tract 105
2017,Moved within same county,0.07,0.11,0.04,-,0,0,0,0.13,0.04,0.11,Tract 105
2017,Moved from different state ,0.04,0.05,0.01,-,0,0.61,0,0,0.08,0.05,Tract 105
2017,Moved from abroad,0.01,0.01,0,-,0,0,0,0,0.00,0.02,Tract 105
2016,Total Estimate,2397,273,2058,9,43,0,14,15,104.00,226,Tract 64
2016,Moved within same county,0.08,0.1,0.08,0,0,0,0,0,0.00,0.12,Tract 64
2016,Moved from different state ,0.07,0.4,0.03,0,0,0,0,0,0.37,0.31,Tract 64
2016,Moved from abroad,0,0.03,0,0,0,0,0,0,0.00,0.04,Tract 64
2016,Total Estimate,3379,1579,1386,22,314,22,56,132,227.00,1521,Tract 105
2016,Moved within same county,0.07,0.12,0.03,0,0,0,0,0.24,0.00,0.12,Tract 105
2016,Moved from different state ,0.07,0.12,0.01,0.73,0,1,0,0,0.17,0.13,Tract 105
2016,Moved from abroad,0.01,0.01,0,0,0,0,0,0,0.00,0.01,Tract 105
2015,Total Estimate,2106,209,1825,7,53,0,12,0,86.00,178,Tract 64
2015,Moved within same county,0.08,0.02,0.09,0,0,-,0,-,0.00,0.03,Tract 64
2015,Moved from different state ,0.05,0.43,0.01,0,0,-,0,-,0.36,0.33,Tract 64
2015,Moved from abroad,0,0,0,0,0,-,0,-,0.00,0,Tract 64
2015,Total Estimate,3331,1496,1552,22,188,23,50,87,169.00,1456,Tract 105
2015,Moved within same county,0.08,0.11,0.06,0,0,0,0,0.39,0.00,0.12,Tract 105
2015,Moved from different state ,0.1,0.17,0.01,0.82,0,1,0.58,0,0.41,0.17,Tract 105
2015,Moved from abroad,0.01,0.01,0,0,0,0,0,0,0.00,0.01,Tract 105
2014,Total Estimate,1961,103,1779,10,54,0,15,0,59.00,81,Tract 64
2014,Moved within same county,0.06,0.05,0.06,0,0,-,0,-,0.00,0.06,Tract 64
2014,Moved from different state ,0.04,0.39,0.02,0,0,-,0,-,0.37,0.22,Tract 64
2014,Moved from abroad,0,0,0,0,0,-,0,-,0.00,0,Tract 64
2014,Total Estimate,3355,1632,1415,35,224,0,49,72,193.00,1571,Tract 105
2014,Moved within same county,0.09,0.14,0.05,0,0.05,-,0,0.24,0.00,0.15,Tract 105
2014,Moved from different state ,0.09,0.14,0.01,0.57,0,-,0.63,0,0.26,0.14,Tract 105
2014,Moved from abroad,0.01,0.01,0,0,0.05,-,0,0,0.00,0.01,Tract 105
2013,Total Estimate,2139,83,1902,12,142,0,0,0,11.00,83,Tract 64
2013,Moved within same county,0.06,0.05,0.06,0,0,-,-,-,0.00,0.05,Tract 64
2013,Moved from different state ,0.01,0,0.01,0,0,-,-,-,0.00,0,Tract 64
2013,Moved from abroad,0,0,0,0,0,-,-,-,0.00,0,Tract 64
2013,Total Estimate,3544,1748,1405,30,310,0,51,116,242.00,1641,Tract 105
2013,Moved within same county,0.07,0.08,0.06,0,0.04,-,0,0.16,0.00,0.09,Tract 105
2013,Moved from different state ,0.09,0.14,0,0.63,0.11,-,0.57,0.15,0.24,0.14,Tract 105
2013,Moved from abroad,0.01,0,0,0,0.05,-,0,0,0.00,0,Tract 105
2012,Total Estimate,1803,60,1563,0,180,0,0,0,0.00,60,Tract 64
2012,Moved within same county,0.03,0,0.04,-,0,-,-,-,0.00,0,Tract 64
2012,Moved from different state ,0.01,0,0.01,-,0,-,-,-,0.00,0,Tract 64
2012,Moved from abroad,0,0,0,-,0,-,-,-,0.00,0,Tract 64
2012,Total Estimate,4096,1787,1876,41,346,0,46,82,337.00,1556,Tract 105
2012,Moved within same county,0.07,0.07,0.08,0,0.09,-,0,0.05,0.00,0.08,Tract 105
2012,Moved from different state ,0.1,0.18,0,0.44,0.1,-,0.57,0.32,0.18,0.2,Tract 105
2012,Moved from abroad,0.01,0.01,0,0,0.03,-,0,0,0.00,0.01,Tract 105
