"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","0","±14","0","±14","0","±14","14","±25","0","±14","0","±14"
"    Same house 1 year ago","0","±14","0","±14","0","±14","14","±25","0","±14","0","±14"
"    Moved within same county","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different county within same state","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from abroad","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
