"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","38","±37","157","±76","71","±63","137","±62","26","±31","68","±67"
"    Same house 1 year ago","38","±37","108","±55","27","±27","82","±44","26","±31","68","±67"
"    Moved within same county","0","±14","16","±26","0","±14","41","±38","0","±14","0","±14"
"    Moved from different county within same state","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Moved from different state","0","±14","33","±32","35","±57","14","±23","0","±14","0","±14"
"    Moved from abroad","0","±14","0","±14","9","±15","0","±14","0","±14","0","±14"
