"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","18","±18","124","±64","60","±61","100","±58","26","±31","68","±67"
"    Car, truck, or van - drove alone","17","±19","43","±44","0","±14","11","±18","26","±31","23","±33"
"    Car, truck, or van - carpooled","0","±14","0","±14","0","±14","0","±14","0","±14","8","±19"
"    Public transportation (excluding taxicab)","0","±14","37","±34","10","±13","0","±14","0","±14","0","±14"
"    Walked","0","±14","28","±31","0","±14","20","±26","0","±14","0","±14"
"    Taxicab, motorcycle, bicycle, or other means","0","±14","16","±26","0","±14","0","±14","0","±14","0","±14"
"    Worked from home","1","±2","0","±14","50","±61","69","±50","0","±14","37","±38"
