"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Car, truck, or van - drove alone","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Car, truck, or van - carpooled","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Public transportation (excluding taxicab)","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Walked","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Taxicab, motorcycle, bicycle, or other means","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Worked from home","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
